code,city,country,county,time_zone,is_primary_location,location_rank,postal_code_rank,source,evidence_count
12105,Berlin Mariendorf,DE,,W. Europe Standard Time,true,1,1,postal_boundary,0
12107,Berlin Mariendorf,DE,,W. Europe Standard Time,true,1,2,postal_boundary,0
12109,Berlin Mariendorf,DE,,W. Europe Standard Time,true,1,3,postal_boundary,0
12157,Berlin Schöneberg,DE,,W. Europe Standard Time,true,1,7,postal_boundary,0
12159,Berlin Friedenau,DE,,W. Europe Standard Time,true,1,1,postal_boundary,0
12161,Berlin Friedenau,DE,,W. Europe Standard Time,true,1,2,postal_boundary,0
12163,Berlin Steglitz,DE,,W. Europe Standard Time,true,1,1,postal_boundary,0
12165,Berlin Steglitz,DE,,W. Europe Standard Time,true,1,2,postal_boundary,0
12167,Berlin Steglitz,DE,,W. Europe Standard Time,true,1,3,postal_boundary,0
12169,Berlin Steglitz,DE,,W. Europe Standard Time,true,1,4,postal_boundary,0
12203,Berlin Lichterfelde,DE,,W. Europe Standard Time,true,1,1,postal_boundary,0
12205,Berlin Lichterfelde,DE,,W. Europe Standard Time,true,1,2,postal_boundary,0
12207,Berlin Lichterfelde,DE,,W. Europe Standard Time,true,1,3,postal_boundary,0
12209,Berlin Lichterfelde,DE,,W. Europe Standard Time,true,1,4,postal_boundary,0
12247,Berlin Lankwitz,DE,,W. Europe Standard Time,true,1,1,postal_boundary,0
12249,Berlin Lankwitz,DE,,W. Europe Standard Time,true,1,2,postal_boundary,0
12277,Berlin,DE,,W. Europe Standard Time,true,1,7,postal_boundary,2882
12279,Berlin,DE,,W. Europe Standard Time,true,1,13,postal_boundary,1021
12305,Berlin,DE,,W. Europe Standard Time,true,1,1,postal_boundary,4502
12307,Berlin,DE,,W. Europe Standard Time,true,1,4,postal_boundary,3355
12309,Berlin,DE,,W. Europe Standard Time,true,1,6,postal_boundary,2926
12347,Berlin Britz,DE,,W. Europe Standard Time,true,1,1,postal_boundary,0
12349,Berlin Buckow,DE,,W. Europe Standard Time,true,1,1,postal_boundary,0
12351,Berlin Buckow,DE,,W. Europe Standard Time,true,1,2,postal_boundary,0
12353,Berlin Gropiusstadt,DE,,W. Europe Standard Time,true,1,1,postal_boundary,0
12355,Berlin Rudow,DE,,W. Europe Standard Time,true,1,1,postal_boundary,0
12357,Berlin Rudow,DE,,W. Europe Standard Time,true,1,2,postal_boundary,0
12359,Berlin Britz,DE,,W. Europe Standard Time,true,1,2,postal_boundary,0
12435,Berlin Alt-Treptow,DE,,W. Europe Standard Time,true,1,1,postal_boundary,0
12437,Berlin Baumschulenweg,DE,,W. Europe Standard Time,true,1,1,postal_boundary,0
12439,Berlin Niederschöneweide,DE,,W. Europe Standard Time,true,1,1,postal_boundary,0
12459,Berlin Oberschöneweide,DE,,W. Europe Standard Time,true,1,1,postal_boundary,0
12487,Berlin,DE,,W. Europe Standard Time,true,1,5,postal_boundary,3193
12489,Berlin Teltowkanal III,DE,,W. Europe Standard Time,true,1,1,postal_boundary,0
12524,Berlin Altglienicke,DE,,W. Europe Standard Time,true,1,1,postal_boundary,0
12526,Berlin Bohnsdorf,DE,,W. Europe Standard Time,true,1,1,postal_boundary,0
12527,Berlin Schmöckwitz,DE,,W. Europe Standard Time,true,1,1,postal_boundary,0
12555,Berlin Köpenick,DE,,W. Europe Standard Time,true,1,1,postal_boundary,0
12557,Berlin,DE,,W. Europe Standard Time,true,1,3,postal_boundary,3796
12559,Berlin,DE,,W. Europe Standard Time,true,1,2,postal_boundary,4220
12587,Berlin Wiesengrund,DE,,W. Europe Standard Time,true,1,1,postal_boundary,0
12589,Berlin Rahnsdorf,DE,,W. Europe Standard Time,true,1,1,postal_boundary,0
12619,Berlin,DE,,W. Europe Standard Time,true,1,10,postal_boundary,1489
12621,Berlin Kaulsdorf,DE,,W. Europe Standard Time,true,1,1,postal_boundary,0
12623,Berlin Mahlsdorf,DE,,W. Europe Standard Time,true,1,1,postal_boundary,0
12627,Berlin Hellersdorf,DE,,W. Europe Standard Time,true,1,1,postal_boundary,0
12629,Berlin,DE,,W. Europe Standard Time,true,1,15,postal_boundary,830
12679,Berlin,DE,,W. Europe Standard Time,true,1,14,postal_boundary,987
12681,Berlin,DE,,W. Europe Standard Time,true,1,8,postal_boundary,1719
12683,Berlin Biesdorf,DE,,W. Europe Standard Time,true,1,1,postal_boundary,0
12685,Berlin,DE,,W. Europe Standard Time,true,1,9,postal_boundary,1718
12687,Berlin,DE,,W. Europe Standard Time,true,1,17,postal_boundary,625
12689,Berlin,DE,,W. Europe Standard Time,true,1,11,postal_boundary,1050
13051,Berlin Neu-Schönhausen,DE,,W. Europe Standard Time,true,1,1,postal_boundary,0
13053,Berlin Alt-Hohenschönhausen,DE,,W. Europe Standard Time,true,1,1,postal_boundary,0
13055,Berlin Alt-Hohenschönhausen,DE,,W. Europe Standard Time,true,1,2,postal_boundary,0
13057,Berlin Falkenberg,DE,,W. Europe Standard Time,true,1,1,postal_boundary,0
13059,Berlin Wartenberg,DE,,W. Europe Standard Time,true,1,1,postal_boundary,0
13086,Berlin Weißensee,DE,,W. Europe Standard Time,true,1,1,postal_boundary,0
13088,Berlin Weißensee,DE,,W. Europe Standard Time,true,1,2,postal_boundary,0
13089,Berlin Heinelsdorf,DE,,W. Europe Standard Time,true,1,1,postal_boundary,0
13125,Berlin Buch,DE,,W. Europe Standard Time,true,1,1,postal_boundary,0
13127,Berlin Französisch Buchholz,DE,,W. Europe Standard Time,true,1,1,postal_boundary,0
13129,Berlin Blankenburg,DE,,W. Europe Standard Time,true,1,1,postal_boundary,0
13156,Berlin Niederschönhausen,DE,,W. Europe Standard Time,true,1,1,postal_boundary,0
13158,Berlin Rosenthal,DE,,W. Europe Standard Time,true,1,1,postal_boundary,0
13159,Berlin Blankenfelde,DE,,W. Europe Standard Time,true,1,1,postal_boundary,0
13187,Berlin Pankow,DE,,W. Europe Standard Time,true,1,1,postal_boundary,0
13189,Berlin Pankow,DE,,W. Europe Standard Time,true,1,2,postal_boundary,0
13347,Berlin Wedding,DE,,W. Europe Standard Time,true,1,1,postal_boundary,0
13349,Berlin Wedding,DE,,W. Europe Standard Time,true,1,2,postal_boundary,0
13351,Berlin Wedding,DE,,W. Europe Standard Time,true,1,3,postal_boundary,0
13353,Berlin Wedding,DE,,W. Europe Standard Time,true,1,4,postal_boundary,0
13355,Berlin Wedding,DE,,W. Europe Standard Time,true,1,5,postal_boundary,0
13357,Berlin Gesundbrunnen,DE,,W. Europe Standard Time,true,1,1,postal_boundary,0
13359,Berlin Gesundbrunnen,DE,,W. Europe Standard Time,true,1,2,postal_boundary,0
13403,Berlin Reinickendorf,DE,,W. Europe Standard Time,true,1,1,postal_boundary,0
13405,Berlin Wedding,DE,,W. Europe Standard Time,true,1,6,postal_boundary,0
13407,Berlin-West,DE,,W. Europe Standard Time,true,1,1,postal_boundary,0
13409,Berlin-West,DE,,W. Europe Standard Time,true,1,2,postal_boundary,0
13435,Berlin Märkisches Viertel,DE,,W. Europe Standard Time,true,1,1,postal_boundary,0
13437,Berlin Reinickendorf,DE,,W. Europe Standard Time,true,1,2,postal_boundary,0
13439,Berlin Märkisches Viertel,DE,,W. Europe Standard Time,true,1,2,postal_boundary,0
13465,Berlin-Frohnau,DE,,W. Europe Standard Time,true,1,1,postal_boundary,0
13467,Berlin Hermsdorf,DE,,W. Europe Standard Time,true,1,1,postal_boundary,0
13469,Berlin Lübars,DE,,W. Europe Standard Time,true,1,1,postal_boundary,0
13503,Berlin Tegel,DE,,W. Europe Standard Time,true,1,1,postal_boundary,0
13505,Berlin Tegel,DE,,W. Europe Standard Time,true,1,2,postal_boundary,0
13507,Berlin Tegel,DE,,W. Europe Standard Time,true,1,3,postal_boundary,0
13509,Berlin Reinickendorf,DE,,W. Europe Standard Time,true,1,3,postal_boundary,0
13581,Berlin Spandau,DE,,W. Europe Standard Time,true,1,1,postal_boundary,0
13583,Berlin Spandau,DE,,W. Europe Standard Time,true,1,2,postal_boundary,0
13585,Berlin Spandau,DE,,W. Europe Standard Time,true,1,3,postal_boundary,0
13587,Berlin Hakenfelde,DE,,W. Europe Standard Time,true,1,1,postal_boundary,0
13589,Berlin Falkenhagener Feld,DE,,W. Europe Standard Time,true,1,1,postal_boundary,0
13591,Berlin Staaken,DE,,W. Europe Standard Time,true,1,1,postal_boundary,0
13593,Berlin Wilhelmstadt,DE,,W. Europe Standard Time,true,1,1,postal_boundary,0
13595,Berlin Wlhelmstadt,DE,,W. Europe Standard Time,true,1,1,postal_boundary,0
13597,Berlin Spandau,DE,,W. Europe Standard Time,true,1,4,postal_boundary,0
13599,Berlin Haselhorst,DE,,W. Europe Standard Time,true,1,1,postal_boundary,0
13627,Berlin Charlottenburg-Nord,DE,,W. Europe Standard Time,true,1,1,postal_boundary,0
13629,Berlin Siemensstadt,DE,,W. Europe Standard Time,true,1,1,postal_boundary,0
14050,Berlin Westend,DE,,W. Europe Standard Time,true,1,1,postal_boundary,0
14052,Berlin Westend,DE,,W. Europe Standard Time,true,1,2,postal_boundary,0
14053,Berlin Westend,DE,,W. Europe Standard Time,true,1,3,postal_boundary,0
14055,Berlin Westend,DE,,W. Europe Standard Time,true,1,4,postal_boundary,0
14057,Berlin Charlottenburg,DE,,W. Europe Standard Time,true,1,8,postal_boundary,0
14059,Berlin Charlottenburg,DE,,W. Europe Standard Time,true,1,9,postal_boundary,0
14089,Berlin Gatow,DE,,W. Europe Standard Time,true,1,1,postal_boundary,0
14109,Berlin Wannsee,DE,,W. Europe Standard Time,true,1,1,postal_boundary,0
14129,Berlin Nikolassee,DE,,W. Europe Standard Time,true,1,1,postal_boundary,0
14163,Berlin Zehlendorf,DE,,W. Europe Standard Time,true,1,1,postal_boundary,0
14165,Berlin Zehlendorf,DE,,W. Europe Standard Time,true,1,2,postal_boundary,0
14167,Berlin Zehlendorf,DE,,W. Europe Standard Time,true,1,3,postal_boundary,0
14169,Berlin Zehlendorf,DE,,W. Europe Standard Time,true,1,4,postal_boundary,0
14193,Berlin Grunewald,DE,,W. Europe Standard Time,true,1,1,postal_boundary,0
14195,Berlin Dahlem,DE,,W. Europe Standard Time,true,1,1,postal_boundary,0
14197,Berlin Wilmersdorf,DE,,W. Europe Standard Time,true,1,8,postal_boundary,0
14199,Berlin Schmargendorf,DE,,W. Europe Standard Time,true,1,1,postal_boundary,0
15537,Berlin,DE,,W. Europe Standard Time,true,1,18,address_fallback,9
