code,city,country,county,time_zone
01814,Reinhardtsdorf-Schöna,DE,Sächsische Schweiz-Osterzgebirge,W. Europe Standard Time
01816,Bad Gottleuba-Berggießhübel,DE,Sächsische Schweiz-Osterzgebirge,W. Europe Standard Time
01819,Bahretal,DE,Sächsische Schweiz-Osterzgebirge,W. Europe Standard Time
01824,Gohrisch,DE,Sächsische Schweiz-Osterzgebirge,W. Europe Standard Time
01824,Kurort Rathen,DE,Sächsische Schweiz-Osterzgebirge,W. Europe Standard Time
01824,Königstein,DE,Sächsische Schweiz-Osterzgebirge,W. Europe Standard Time
01824,Rosenthal-Bielatal,DE,Sächsische Schweiz-Osterzgebirge,W. Europe Standard Time
01825,Liebstadt,DE,Sächsische Schweiz-Osterzgebirge,W. Europe Standard Time
01829,Stadt Wehlen,DE,Sächsische Schweiz-Osterzgebirge,W. Europe Standard Time
01833,Dürrröhrsdorf-Dittersbach,DE,Sächsische Schweiz-Osterzgebirge,W. Europe Standard Time
01833,Stolpen,DE,Sächsische Schweiz-Osterzgebirge,W. Europe Standard Time
01844,Neustadt in Sachsen,DE,Sächsische Schweiz-Osterzgebirge,W. Europe Standard Time
01847,Lohmen,DE,Sächsische Schweiz-Osterzgebirge,W. Europe Standard Time
01848,Hohnstein,DE,Sächsische Schweiz-Osterzgebirge,W. Europe Standard Time
01855,Sebnitz,DE,Sächsische Schweiz-Osterzgebirge,W. Europe Standard Time
01877,Bischofswerda,DE,Bautzen - Budyšin,W. Europe Standard Time
01877,Demitz-Thumitz,DE,Bautzen - Budyšin,W. Europe Standard Time
01877,Rammenau,DE,Bautzen - Budyšin,W. Europe Standard Time
01877,Schmölln-Putzkau,DE,Bautzen - Budyšin,W. Europe Standard Time
01896,Lichtenberg,DE,Bautzen - Budyšin,W. Europe Standard Time
01896,Ohorn,DE,Bautzen - Budyšin,W. Europe Standard Time
01896,Pulsnitz,DE,Bautzen - Budyšin,W. Europe Standard Time
01900,Großröhrsdorf,DE,Bautzen - Budyšin,W. Europe Standard Time
01904,Neukirch/Lausitz,DE,Bautzen - Budyšin,W. Europe Standard Time
01904,Steinigtwolmsdorf,DE,Bautzen - Budyšin,W. Europe Standard Time
01906,Burkau,DE,Bautzen - Budyšin,W. Europe Standard Time
01909,Frankenthal,DE,Bautzen - Budyšin,W. Europe Standard Time
01909,Großharthau,DE,Bautzen - Budyšin,W. Europe Standard Time
01917,Kamenz,DE,Bautzen - Budyšin,W. Europe Standard Time
01917,Kamenz - Kamjenc,DE,Bautzen - Budyšin,W. Europe Standard Time
01920,Crostwitz,DE,Bautzen - Budyšin,W. Europe Standard Time
01920,Elstra,DE,Bautzen - Budyšin,W. Europe Standard Time
01920,Haselbachtal,DE,Bautzen - Budyšin,W. Europe Standard Time
01920,Nebelschütz,DE,Bautzen - Budyšin,W. Europe Standard Time
01920,Oßling,DE,Bautzen - Budyšin,W. Europe Standard Time
01920,Panschwitz-Kuckau,DE,Bautzen - Budyšin,W. Europe Standard Time
01920,Ralbitz-Rosenthal,DE,Bautzen - Budyšin,W. Europe Standard Time
01920,Räckelwitz,DE,Bautzen - Budyšin,W. Europe Standard Time
01920,Räckelwitz - Worklecy,DE,Bautzen - Budyšin,W. Europe Standard Time
01920,Steina,DE,Bautzen - Budyšin,W. Europe Standard Time
01936,Großnaundorf,DE,Bautzen - Budyšin,W. Europe Standard Time
01936,Königsbrück,DE,Bautzen - Budyšin,W. Europe Standard Time
01936,Laußnitz,DE,Bautzen - Budyšin,W. Europe Standard Time
01936,Neukirch,DE,Bautzen - Budyšin,W. Europe Standard Time
01936,Schwepnitz,DE,Bautzen - Budyšin,W. Europe Standard Time
02625,Bautzen,DE,Bautzen - Budyšin,W. Europe Standard Time
02627,Hochkirch,DE,Bautzen - Budyšin,W. Europe Standard Time
02627,Kubschütz,DE,Bautzen - Budyšin,W. Europe Standard Time
02627,Radibor,DE,Bautzen - Budyšin,W. Europe Standard Time
02627,Weißenberg,DE,Bautzen - Budyšin,W. Europe Standard Time
02633,Göda,DE,Bautzen - Budyšin,W. Europe Standard Time
02681,Schirgiswalde-Kirschau,DE,Bautzen - Budyšin,W. Europe Standard Time
02681,Wilthen,DE,Bautzen - Budyšin,W. Europe Standard Time
02689,Sohland an der Spree,DE,Bautzen - Budyšin,W. Europe Standard Time
02692,Doberschau-Gaußig,DE,Bautzen - Budyšin,W. Europe Standard Time
02692,Großpostwitz,DE,Bautzen - Budyšin,W. Europe Standard Time
02692,Großpostwitz/O.L.,DE,Bautzen - Budyšin,W. Europe Standard Time
02692,Obergurig,DE,Bautzen - Budyšin,W. Europe Standard Time
02694,Großdubrau,DE,Bautzen - Budyšin,W. Europe Standard Time
02694,Malschwitz,DE,Bautzen - Budyšin,W. Europe Standard Time
02699,Königswartha,DE,Bautzen - Budyšin,W. Europe Standard Time
02699,Neschwitz,DE,Bautzen - Budyšin,W. Europe Standard Time
02699,Puschwitz,DE,Bautzen - Budyšin,W. Europe Standard Time
02708,Dürrhennersdorf,DE,Görlitz,W. Europe Standard Time
02708,Großschweidnitz,DE,Görlitz,W. Europe Standard Time
02708,Kottmar,DE,Görlitz,W. Europe Standard Time
02708,Lawalde,DE,Görlitz,W. Europe Standard Time
02708,Löbau,DE,Görlitz,W. Europe Standard Time
02708,Rosenbach,DE,Görlitz,W. Europe Standard Time
02708,Schönbach,DE,Görlitz,W. Europe Standard Time
02727,Ebersbach- Neugersdorf,DE,Görlitz,W. Europe Standard Time
02727,Ebersbach-Neugersdorf,DE,Görlitz,W. Europe Standard Time
02727,Neugersdorf,DE,Görlitz,W. Europe Standard Time
02730,Ebersbach-Neugersdorf,DE,Görlitz,W. Europe Standard Time
02733,Cunewalde,DE,Bautzen - Budyšin,W. Europe Standard Time
02736,Beiersdorf,DE,Görlitz,W. Europe Standard Time
02736,Oppach,DE,Görlitz,W. Europe Standard Time
02739,Kottmar,DE,Görlitz,W. Europe Standard Time
02742,Neusalza-Spremberg,DE,Görlitz,W. Europe Standard Time
02747,Herrnhut,DE,Görlitz,W. Europe Standard Time
02748,Bernstadt auf dem Eigen,DE,Görlitz,W. Europe Standard Time
02763,Bertsdorf-Hörnitz,DE,Görlitz,W. Europe Standard Time
02763,Mittelherwigsdorf,DE,Görlitz,W. Europe Standard Time
02763,Zittau,DE,Görlitz,W. Europe Standard Time
02779,Großschönau,DE,Görlitz,W. Europe Standard Time
02779,Hainewalde,DE,Görlitz,W. Europe Standard Time
02782,Seifhennersdorf,DE,Görlitz,W. Europe Standard Time
02785,Olbersdorf,DE,Görlitz,W. Europe Standard Time
02788,Hirschfelde,DE,Görlitz,W. Europe Standard Time
02788,Zittau,DE,Görlitz,W. Europe Standard Time
02791,Oderwitz,DE,Görlitz,W. Europe Standard Time
02794,Leutersdorf,DE,Görlitz,W. Europe Standard Time
02796,Jonsdorf,DE,Görlitz,W. Europe Standard Time
02797,Oybin,DE,Görlitz,W. Europe Standard Time
02799,Großschönau,DE,Görlitz,W. Europe Standard Time
02826,Görlitz,DE,Görlitz,W. Europe Standard Time
02827,Görlitz,DE,Görlitz,W. Europe Standard Time
02828,Görlitz,DE,Görlitz,W. Europe Standard Time
02829,Königshain,DE,Görlitz,W. Europe Standard Time
02829,Markersdorf,DE,Görlitz,W. Europe Standard Time
02829,Neißeaue,DE,Görlitz,W. Europe Standard Time
02829,Schöpstal,DE,Görlitz,W. Europe Standard Time
02894,Reichenbach/O.L.,DE,Görlitz,W. Europe Standard Time
02894,Vierkirchen,DE,Görlitz,W. Europe Standard Time
02899,Ostritz,DE,Görlitz,W. Europe Standard Time
02899,Schönau-Berzdorf auf dem Eigen,DE,Görlitz,W. Europe Standard Time
02906,Hohendubrau,DE,Görlitz,W. Europe Standard Time
02906,Kreba-Neudorf,DE,Görlitz,W. Europe Standard Time
02906,Mücka,DE,Görlitz,W. Europe Standard Time
02906,Niesky,DE,Görlitz,W. Europe Standard Time
02906,Quitzdorf am See,DE,Görlitz,W. Europe Standard Time
02906,Waldhufen,DE,Görlitz,W. Europe Standard Time
02923,Horka,DE,Görlitz,W. Europe Standard Time
02923,Hähnichen,DE,Görlitz,W. Europe Standard Time
02923,Kodersdorf,DE,Görlitz,W. Europe Standard Time
02929,Rothenburg (OL.),DE,Görlitz,W. Europe Standard Time
02929,Rothenburg/O.L.,DE,Görlitz,W. Europe Standard Time
02929,Rothenburg/Oberlausitz,DE,Görlitz,W. Europe Standard Time
02943,Boxberg/O.L.,DE,Görlitz,W. Europe Standard Time
02943,Boxberg/O.L. - Hamor,DE,Görlitz,W. Europe Standard Time
02943,Boxberg/Oberlausitz,DE,Görlitz,W. Europe Standard Time
02943,Klitten,DE,Görlitz,W. Europe Standard Time
02943,Weißwasser/O.L.,DE,Görlitz,W. Europe Standard Time
